,X,Y,CTY_CODE,ADTTOTAL,BRIDGE_ID,COVERED_BRIDGE,CUSTODIAN,DECK_AREA,DECKWIDTH,DEPT_MAIN_MATERIAL_TYPE,DEPT_MAIN_PHYSICAL_TYPE,DESIGNMAIN,HISTSIGN,LENGTH,MATERIALMAIN,NBI_RATING,STATE_LOCAL,STRRATING,YEARBUILT,YEARRECON,FLOOD_INSP,KIND_HWY
30643,-77.1055989853,41.9521734998,58,4168.0,58028708100633,0.0,1.0,1992.0,41.5,2.0,1.0,4.0,0.0,48.0,1.0,0.0,1,5.0,1942.0,0.0,1.0,3.0
30644,-77.1242836759,41.991693118,58,3437.0,58028708801582,0.0,1.0,18572.502,47.5,4.0,2.0,2.0,0.0,391.0,6.0,0.0,1,7.0,1994.0,0.0,1.0,3.0
30645,-77.5598271963,41.9177835853,58,3637.0,58004900700000,0.0,1.0,2156.0,28.0,1.0,6.0,2.0,0.0,77.0,3.0,1.0,1,5.0,1948.0,0.0,1.0,3.0
30646,-77.4440977845,41.9578068487,58,3666.0,58004902500064,0.0,1.0,4384.80029,50.4000015,1.0,7.0,2.0,0.0,87.0,3.0,0.0,1,6.0,1974.0,0.0,0.0,3.0
30647,-77.085816942,41.0537114399,59,14.0,59101000700000,0.0,1.0,272.00003,0.0,1.0,9.0,19.0,0.0,16.0,3.0,0.0,1,7.0,1985.0,0.0,1.0,3.0
30648,-77.8539224645,41.6340963803,52,81.0,52300102601187,0.0,1.0,1098.00012,30.5,3.0,1.0,19.0,0.0,36.0,1.0,0.0,1,7.0,1990.0,0.0,0.0,3.0
30649,-78.1142447431,41.6434116834,52,685.0,52300201103150,0.0,1.0,938.400085,27.6000004,3.0,1.0,22.0,0.0,34.0,1.0,0.0,1,6.0,1938.0,2013.0,0.0,3.0
30650,-78.0320500928,41.6244807966,52,93.0,52300300601077,0.0,1.0,369.0,24.6000004,3.0,1.0,1.0,0.0,15.0,1.0,0.0,1,6.0,1934.0,2012.0,0.0,3.0
30653,-75.0090642838,41.4172459596,51,641.0,51100300100241,0.0,1.0,982.699951,31.6999989,2.0,1.0,4.0,0.0,31.0,1.0,1.0,1,4.0,1958.0,0.0,1.0,3.0
30654,-74.906867341,41.3976800024,51,922.0,51100500700000,0.0,1.0,357.0,0.0,1.0,9.0,19.0,0.0,17.0,3.0,0.0,1,6.0,1961.0,0.0,0.0,3.0
30656,-74.7202780818,41.3929665142,51,1129.0,51101700501224,0.0,1.0,190.000015,0.0,1.0,9.0,19.0,0.0,10.0,3.0,0.0,1,6.0,1954.0,0.0,0.0,3.0
30657,-79.6053909288,40.6637595252,3,4065.0,3006601900000,0.0,1.0,1438.80005,43.5999985,2.0,1.0,4.0,0.0,33.0,1.0,0.0,1,5.0,1951.0,0.0,0.0,3.0
30658,-76.5486498007,40.7114801289,53,1003.0,53012504203376,0.0,1.0,768.000061,25.6000004,1.0,6.0,2.0,0.0,30.0,3.0,0.0,1,5.0,1932.0,1956.0,0.0,3.0
30661,-76.3874065284,40.6288627415,53,2620.0,53020902501250,0.0,1.0,1875.50024,60.5000038,4.0,2.0,5.0,0.0,31.0,5.0,0.0,1,6.0,1968.0,0.0,0.0,2.0
30662,-76.3226778961,40.6699394101,53,4808.0,53020903500515,0.0,1.0,2187.30005,95.0999985,2.0,1.0,19.0,0.0,23.0,1.0,0.0,1,7.0,1975.0,0.0,0.0,2.0
30663,-77.1501264031,40.5430737198,50,4184.0,50101502500648,0.0,1.0,9956.80078,39.2000008,1.0,9.0,2.0,0.0,254.000015,4.0,1.0,1,5.0,1966.0,0.0,0.0,3.0
30664,-77.0852693547,40.4997640438,50,291.0,50101800300000,0.0,1.0,360.10004,27.7000027,2.0,1.0,1.0,0.0,13.0,1.0,1.0,1,4.0,1934.0,1987.0,0.0,3.0
30665,-78.0768582733,41.6179789198,52,884.0,52087202800755,0.0,1.0,100.0,0.0,1.0,9.0,19.0,0.0,4.0,3.0,1.0,1,4.0,1970.0,0.0,0.0,3.0
30666,-79.3558735293,40.8039112058,3,4031.0,3008501502816,0.0,1.0,324.00003,0.0,3.0,1.0,19.0,0.0,9.0,1.0,0.0,1,7.0,1995.0,0.0,0.0,3.0
30667,-78.0314919646,41.7226479229,52,1199.0,52087204900000,0.0,1.0,160.000015,0.0,3.0,1.0,19.0,0.0,5.0,1.0,0.0,1,5.0,1970.0,0.0,0.0,3.0
