,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
4851,42.29416797,-72.686152,3.0,1,Northampton,0,0RH,1956,0,8.5,0,1
4852,42.693626,-72.444888,1.0,2,Northfield,0,0RJ,1937,0,20.4,0,1
4853,42.18694897,-70.93365697,2.0,19,Weymouth,0,8LD,1957,0,3.7,0,2
4856,42.142493,-72.55007397,1.0,2,Springfield,0,11G,1969,0,64.6,0,1
4857,42.14532497,-72.549366,1.0,2,Springfield,0,11H,1969,0,42.7,0,1
4858,42.589204,-72.30958697,4.0,2,Orange,0,11K,1937,2005,42.4,1,1
4859,42.602856,-72.335401,1.0,2,Orange,0,11L,1937,0,10.2,1,1
4860,42.567073,-73.02963097,1.0,2,Savoy,0,A7J,2004,0,19.3,0,1
4861,41.864541,-71.122026,3.0,1,Dighton,0,3J9,1956,0,7.3,0,1
4862,41.864413,-71.12139,3.0,1,Dighton,0,3JA,1959,0,11.9,0,1
4863,41.65613197,-70.91723397,1.0,2,Fairhaven,0,3JB,1962,0,44.2,0,1
4864,41.59642997,-70.84249097,3.0,1,Fairhaven,0,3JC,1920,1970,8.8,0,1
4865,41.53555833,-70.96916389,3.0,5,Dartmouth,0,A3E,2004,0,25.7,0,1
4866,42.22525197,-72.16951797,3.0,1,Warren,0,1A9,1958,0,9.0,0,1
4867,42.21341,-72.195265,1.0,2,Warren,0,1AA,1938,0,31.1,0,1
4868,42.23436111,-72.16218889,1.0,2,West Brookfield,0,1AB,1959,0,30.7,0,1
4869,42.56607497,-72.218861,4.0,2,Athol,0,1AD,1954,0,49.9,0,1
4870,42.079106,-71.282532,3.0,6,Foxborough,0,3PL,1995,0,25.9,0,1
4871,42.098947,-71.263209,3.0,6,Foxborough,0,3PM,1995,0,50.3,0,1
4872,42.17695297,-71.191996,1.0,2,Norwood,0,3PN,1960,0,19.8,1,1
4873,42.209094,-71.184679,2.0,19,Norwood,0,3PP,1932,1956,7.9,0,1
4880,41.77857697,-71.27938297,4.0,2,Rehoboth,0,3U4,1960,0,47.5,0,1
4881,41.778993,-71.279104,4.0,2,Rehoboth,0,3U5,1960,0,47.5,0,1
4882,41.73092197,-71.191703,1.0,2,Somerset,0,3U6,1960,0,41.5,0,1
4885,41.88322097,-71.05240297,1.0,2,Taunton,0,3WY,1951,0,50.6,0,1
4886,41.90989297,-71.04013797,1.0,2,Raynham,0,3X0,1952,0,58.1,0,1
4887,41.65513297,-70.99876997,3.0,2,Dartmouth,0,3X1,1966,0,79.9,0,1
4888,41.77866997,-71.084218,4.0,2,Freetown,0,3X2,1951,0,32.3,0,1
4889,41.657214,-71.03693197,3.0,2,Dartmouth,0,3X3,1965,0,78.6,0,1
4890,41.74219097,-71.129654,3.0,1,Fall River,0,40E,1903,2006,11.2,0,1
4892,42.10928897,-71.35476097,3.0,1,Norfolk,0,40J,1986,0,13.4,0,1
4893,42.60511497,-71.32028097,1.0,2,Chelmsford,0,2GX,1959,1984,36.6,0,1
4894,42.605148,-71.320547,1.0,2,Chelmsford,0,2GY,1959,1984,36.5,0,1
4895,42.60605997,-71.32026997,1.0,2,Chelmsford,0,2H0,1959,1984,35.1,0,1
4896,42.60602397,-71.320525,1.0,2,Chelmsford,0,2H1,1959,1984,35.0,0,1
4897,41.83497897,-71.10826797,2.0,11,Berkley,0,B6P,2015,0,109.4,0,1
4898,42.556578,-71.98664483,2.0,1,Gardner,0,B6Q,2012,0,8.4,0,1
4899,42.035899,-71.467309,2.0,19,Bellingham,0,B6R,2010,0,3.8,0,2
4900,42.079692,-71.018314,3.0,6,Brockton,0,B6U,2012,0,12.1,0,1
4901,42.63925497,-71.34102,1.0,2,Lowell,0,2N8,1976,0,46.9,0,1
4902,42.62358333,-71.30145,1.0,3,Lowell,0,2N9,1922,1997,37.5,0,1
4903,42.64074697,-71.32514897,4.0,2,Lowell,0,2NC,1995,0,35.4,0,1
4910,42.85318,-70.923314,4.0,2,Amesbury,0,2QX,1949,0,25.0,0,1
4912,42.85631997,-70.92688497,3.0,1,Amesbury,0,2R0,1990,0,10.7,0,1
4913,42.85953397,-70.92753997,1.0,2,Amesbury,0,2R1,1908,0,9.1,1,1
4914,42.64956097,-71.216887,1.0,2,Andover,0,2XM,1961,1987,39.3,0,1
4915,42.64914697,-71.215978,1.0,2,Andover,0,2XN,1961,1987,39.3,0,1
4916,42.661098,-71.19836397,2.0,19,Andover,0,2XP,1961,0,7.0,0,1
4917,42.66402397,-71.19422,1.0,2,Andover,0,2XQ,1961,1992,76.8,0,1
4918,42.664436,-71.19441997,1.0,2,Andover,0,2XR,1961,1992,76.8,0,1
4919,41.68237897,-71.13844,2.0,19,Fall River,0,95C,1955,0,5.0,0,2
4924,42.16787883,-71.60266683,3.0,1,Upton,0,1J1,1956,0,6.9,0,1
4925,42.07521583,-71.62532883,3.0,5,Uxbridge,0,1J2,1994,0,24.7,0,1
4926,42.07056997,-71.60874697,5.0,11,Uxbridge,0,1J3,1930,0,17.7,0,1
4927,42.080829,-71.60844897,3.0,1,Uxbridge,0,1J4,1930,1965,10.7,0,1
4928,42.27408583,-71.63219983,3.0,1,Westborough,0,1J6,1956,0,6.8,0,1
4929,42.25620883,-71.633992,3.0,1,Westborough,0,1J7,1956,0,7.6,0,1
